id,symbol,market_id,category,name
128666746,EraninPearlWhisky,128001536,Legal Drugs,Eranin Pearl Whisky
128666747,LavianBrandy,128106744,Legal Drugs,Lavian Brandy
128667019,HIP10175BushMeat,3223234816,Foods,HIP 10175 Bush Meat
128667020,AlbinoQuechuaMammoth,3222822912,Foods,Albino Quechua Mammoth Meat
128667021,UtgaroarMillenialEggs,128037120,Foods,Utgaroar Millennial Eggs
128667022,WitchhaulKobeBeef,3223358720,Foods,Witchhaul Kobe Beef
128667023,KarsukiLocusts,3225028096,Foods,Karsuki Locusts
128667024,GiantIrukamaSnails,3225345792,Foods,Giant Irukama Snails
128667025,BaltahSineVacuumKrill,128088056,Foods,Baltah'sine Vacuum Krill
128667026,CetiRabbits,3222560000,Foods,Ceti Rabbits
128667027,KachiriginLeaches,3221595648,Medicines,Kachirigin Filter Leeches
128667028,LyraeWeed,3226417152,Legal Drugs,Lyrae Weed
128667029,OnionHead,128129272,Legal Drugs,Onionhead
128667030,TarachTorSpice,128041984,Legal Drugs,Tarach Spice
128667031,Wolf1301Fesh,128084984,Legal Drugs,Wolf Fesh
128667032,BorasetaniPathogenetics,3229638400,Weapons,Borasetani Pathogenetics
128667033,HIP118311Swarm,3223177472,Weapons,HIP 118311 Swarm
128667034,KonggaAle,3226978048,Legal Drugs,Kongga Ale
128667035,WuthieloKuFroth,3222155776,Legal Drugs,Wuthielo Ku Froth
128667036,AlacarakmoSkinArt,3231373824,Consumer Items,Alacarakmo Skin Art
128667037,EleuThermals,3230624768,Consumer Items,Eleu Thermals
128667038,EshuUmbrellas,3222295552,Consumer Items,Eshu Umbrellas
128667039,KaretiiCouture,3227333120,Consumer Items,Karetii Couture
128667040,NjangariSaddles,3222416896,Consumer Items,Njangari Saddles
128667041,AnyNaCoffee,3229880064,Foods,Any Na Coffee
128667042,CD75CatCoffee,3228566016,Foods,CD-75 Kitten Brand Coffee
128667043,GomanYauponCoffee,3224449792,Foods,Goman Yaupon Coffee
128667044,VolkhabBeeDrones,3227831808,Machinery,Volkhab Bee Drones
128667045,KinagoInstruments,3227394304,Consumer Items,Kinago Violins
128667046,NgunaModernAntiques,3221538304,Consumer Items,Nguna Modern Antiques
128667047,RajukruStoves,3227512320,Consumer Items,Rajukru Multi-Stoves
128667048,TiolceWaste2PasteUnits,3224141312,Consumer Items,Tiolce Waste2Paste Units
128667049,ChiEridaniMarinePaste,128128760,Foods,Chi Eridani Marine Paste
128667050,EsusekuCaviar,3226919680,Foods,Esuseku Caviar
128667051,LiveHecateSeaWorms,128042496,Foods,Live Hecate Sea Worms
128667052,HelvetitjPearls,3231094528,Metals,Helvetitj Pearls
128667053,HIP41181Squid,3227995392,Foods,HIP Proto-Squid
128667054,CoquimSpongiformVictuals,3223832576,Foods,Coquim Spongiform Victuals
128667055,AerialEdenApple,128083448,Foods,Eden Apples of Aerial
128667056,NeritusBerries,3228206080,Foods,Neritus Berries
128667057,OchoengChillies,3226719232,Foods,Ochoeng Chillies
128667058,DeuringasTruffles,3229713408,Foods,Deuringas Truffles
128667059,HR7221Wheat,3226170880,Foods,HR 7221 Wheat
128667060,JarouaRice,3224698112,Foods,Jaroua Rice
128667061,BelalansRayLeather,3223537152,Textiles,Belalans Ray Leather
128667062,DamnaCarapaces,3227751936,Textiles,Damna Carapaces
128667063,RapaBaoSnakeSkins,3222875648,Textiles,Rapa Bao Snake Skins
128667064,VanayequiRhinoFur,3227289856,Textiles,Vanayequi Ceratomorpha Fur
128667065,BastSnakeGin,128086776,Legal Drugs,Bast Snake Gin
128667066,ThrutisCream,3226522368,Legal Drugs,Thrutis Cream
128667067,WulpaHyperboreSystems,3221388032,Machinery,Wulpa Hyperbore Systems
128667068,AganippeRush,128012800,Medicines,Aganippe Rush
128667069,TerraMaterBloodBores,128051466,Medicines,Terra Mater Blood Bores
128667070,HolvaDuellingBlades,3222713088,Weapons,Holva Duelling Blades
128667071,KamorinHistoricWeapons,3221669632,Weapons,Kamorin Historic Weapons
