id,symbol,category,name
128049152,Platinum,Metals,Platinum
128049153,Palladium,Metals,Palladium
128049154,Gold,Metals,Gold
128049155,Silver,Metals,Silver
128049156,Bertrandite,Minerals,Bertrandite
128049157,Indite,Minerals,Indite
128049158,Gallite,Minerals,Gallite
128049159,Coltan,Minerals,Coltan
128049160,Uraninite,Minerals,Uraninite
128049161,Lepidolite,Minerals,Lepidolite
128049162,Cobalt,Metals,Cobalt
128049163,Rutile,Minerals,Rutile
128049165,Bauxite,Minerals,Bauxite
128049166,Water,Chemicals,Water
128049168,Beryllium,Metals,Beryllium
128049169,Indium,Metals,Indium
128049170,Gallium,Metals,Gallium
128049171,Tantalum,Metals,Tantalum
128049172,Uranium,Metals,Uranium
128049173,Lithium,Metals,Lithium
128049174,Titanium,Metals,Titanium
128049175,Copper,Metals,Copper
128049176,Aluminium,Metals,Aluminium
128049177,Algae,Foods,Algae
128049178,FruitAndVegetables,Foods,Fruit and Vegetables
128049180,Grain,Foods,Grain
128049182,Animalmeat,Foods,Animal Meat
128049183,Fish,Foods,Fish
128049184,FoodCartridges,Foods,Food Cartridges
128049185,SyntheticMeat,Foods,Synthetic Meat
128049188,Tea,Foods,Tea
128049189,Coffee,Foods,Coffee
128049190,Leather,Textiles,Leather
128049191,NaturalFabrics,Textiles,Natural Fabrics
128049193,SyntheticFabrics,Textiles,Synthetic Fabrics
128049197,Polymers,Industrial Materials,Polymers
128049199,Semiconductors,Industrial Materials,Semiconductors
128049200,Superconductors,Industrial Materials,Superconductors
128049202,HydrogenFuel,Chemicals,Hydrogen Fuel
128049203,MineralOil,Chemicals,Mineral Oil
128049204,Explosives,Chemicals,Explosives
128049205,Pesticides,Chemicals,Pesticides
128049208,AgriculturalMedicines,Medicines,Agri-Medicines
128049209,PerformanceEnhancers,Medicines,Performance Enhancers
128049210,BasicMedicines,Medicines,Basic Medicines
128049212,BasicNarcotics,Legal Drugs,Narcotics
128049213,Tobacco,Legal Drugs,Tobacco
128049214,Beer,Legal Drugs,Beer
128049215,Wine,Legal Drugs,Wine
128049216,Liquor,Legal Drugs,Liquor
128049217,PowerGenerators,Machinery,Power Generators
128049218,WaterPurifiers,Machinery,Water Purifiers
128049220,HeliostaticFurnaces,Machinery,Microbial Furnaces
128049221,MineralExtractors,Machinery,Mineral Extractors
128049222,CropHarvesters,Machinery,Crop Harvesters
128049223,MarineSupplies,Machinery,Marine Equipment
128049225,ComputerComponents,Technology,Computer Components
128049226,HazardousEnvironmentSuits,Technology,H.E. Suits
128049227,Robotics,Technology,Robotics
128049228,AutoFabricators,Technology,Auto-Fabricators
128049229,AnimalMonitors,Technology,Animal Monitors
128049230,AquaponicSystems,Technology,Aquaponic Systems
128049231,AdvancedCatalysers,Technology,Advanced Catalysers
128049232,TerrainEnrichmentSystems,Technology,Land Enrichment Systems
128049233,PersonalWeapons,Weapons,Personal Weapons
128049234,BattleWeapons,Weapons,Battle Weapons
128049235,ReactiveArmour,Weapons,Reactive Armour
128049236,NonLethalWeapons,Weapons,Non-Lethal Weapons
128049238,DomesticAppliances,Consumer Items,Domestic Appliances
128049240,ConsumerTechnology,Consumer Items,Consumer Technology
128049241,Clothing,Consumer Items,Clothing
128049243,Slaves,Slavery,Slaves
128049244,Biowaste,Waste,Biowaste
128049245,ToxicWaste,Waste,Toxic Waste
128049246,ChemicalWaste,Waste,Chemical Waste
128049248,Scrap,Waste,Scrap
128049669,ProgenitorCells,Medicines,Progenitor Cells
128049670,CombatStabilisers,Medicines,Combat Stabilisers
128049671,ResonatingSeparators,Technology,Resonating Separators
128049672,BioReducingLichen,Technology,Bioreducing Lichen
128064028,AtmosphericExtractors,Machinery,Atmospheric Processors
128066403,Drones,NonMarketable,Limpets
128666752,USSCargoBlackBox,Salvage,Black Box
128666754,USSCargoTradeData,Salvage,Trade Data
128666755,USSCargoMilitaryPlans,Salvage,Military Plans
128666756,USSCargoAncientArtefact,Salvage,Ancient Artefact
128666757,USSCargoRareArtwork,Salvage,Rare Artwork
128666758,USSCargoExperimentalChemicals,Salvage,Experimental Chemicals
128666759,USSCargoRebelTransmissions,Salvage,Rebel Transmissions
128666760,USSCargoPrototypeTech,Salvage,Prototype Tech
128666761,USSCargoTechnicalBlueprints,Salvage,Technical Blueprints
128667728,ImperialSlaves,Slavery,Imperial Slaves
128668547,UnknownArtifact,Salvage,Thargoid Sensor
128668548,AiRelics,Salvage,AI Relics
128668549,Hafnium178,Metals,Hafnium 178
128668550,Painite,Minerals,Painite
128668551,Antiquities,Salvage,Antiquities
128668552,MilitaryIntelligence,Salvage,Military Intelligence
128671118,Osmium,Metals,Osmium
128671443,SAP8CoreContainer,Salvage,SAP 8 Core Container
128671444,TrinketsOfFortune,Consumer Items,Trinkets of Hidden Fortune
128672123,WreckageComponents,Salvage,Wreckage Components
128672124,EncriptedDataStorage,Salvage,Encrypted Data Storage
128672125,OccupiedCryoPod,Salvage,Occupied Escape Pod
128672126,PersonalEffects,Salvage,Personal Effects
128672127,ComercialSamples,Salvage,Commercial Samples
128672128,TacticalData,Salvage,Tactical Data
128672129,AssaultPlans,Salvage,Assault Plans
128672130,EncryptedCorrespondence,Salvage,Encrypted Correspondence
128672131,DiplomaticBag,Salvage,Diplomatic Bag
128672132,ScientificResearch,Salvage,Scientific Research
128672133,ScientificSamples,Salvage,Scientific Samples
128672134,PoliticalPrisoner,Salvage,Political Prisoners
128672135,Hostage,Salvage,Hostages
128672136,LargeExplorationDataCash,Salvage,Large Survey Data Cache
128672137,SmallExplorationDataCash,Salvage,Small Survey Data Cache
128672159,AntiqueJewellery,Salvage,Antique Jewellery
128672160,PreciousGems,Salvage,Precious Gems
128672161,EarthRelics,Salvage,Earth Relics
128672162,GeneBank,Salvage,Gene Bank
128672163,TimeCapsule,Salvage,Time Capsule
128672294,Cryolite,Minerals,Cryolite
128672295,Goslarite,Minerals,Goslarite
128672296,Moissanite,Minerals,Moissanite
128672297,Pyrophyllite,Minerals,Pyrophyllite
128672298,Lanthanum,Metals,Lanthanum
128672299,Thallium,Metals,Thallium
128672300,Bismuth,Metals,Bismuth
128672301,Thorium,Metals,Thorium
128672302,CeramicComposites,Industrial Materials,Ceramic Composites
